"id";"VoterTitle";"VoterName";"VoterVote";"PageURL";"MotionofVote";"NoVoteText";"MeetingIDValue";"ItemID";"VoteID"
"1501";"Councillor";"R. Chiarelli  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114360";"Passed    Motion To: That the committee RECEIVE the item for information";NULL;"2266";"114360";"R. Chiarelli  YesPassed    Motion To: That the committee RECEIVE the item for information2266114360"
"1502";"Councillor";"R. Bloess  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114360";"Passed    Motion To: That the committee RECEIVE the item for information";NULL;"2266";"114360";"R. Bloess  YesPassed    Motion To: That the committee RECEIVE the item for information2266114360"
"1503";"Councillor";"S. Blais  ";"Absent";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114360";"Passed    Motion To: That the committee RECEIVE the item for information";NULL;"2266";"114360";"S. Blais  AbsentPassed    Motion To: That the committee RECEIVE the item for information2266114360"
"1504";"Councillor";"M. Taylor  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114360";"Passed    Motion To: That the committee RECEIVE the item for information";NULL;"2266";"114360";"M. Taylor  YesPassed    Motion To: That the committee RECEIVE the item for information2266114360"
"1505";"Councillor";"B. Monette  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114360";"Passed    Motion To: That the committee RECEIVE the item for information";NULL;"2266";"114360";"B. Monette  YesPassed    Motion To: That the committee RECEIVE the item for information2266114360"
"1506";"Councillor";"J. Harder  ";"Absent";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114360";"Passed    Motion To: That the committee RECEIVE the item for information";NULL;"2266";"114360";"J. Harder  AbsentPassed    Motion To: That the committee RECEIVE the item for information2266114360"
"1507";"Councillor";"S. Qadri  ";"Absent";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114360";"Passed    Motion To: That the committee RECEIVE the item for information";NULL;"2266";"114360";"S. Qadri  AbsentPassed    Motion To: That the committee RECEIVE the item for information2266114360"
"1508";"Councillor";"K. Hobbs  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114360";"Passed    Motion To: That the committee RECEIVE the item for information";NULL;"2266";"114360";"K. Hobbs  YesPassed    Motion To: That the committee RECEIVE the item for information2266114360"
"1509";"Councillor";"A. Hubley  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114360";"Passed    Motion To: That the committee RECEIVE the item for information";NULL;"2266";"114360";"A. Hubley  YesPassed    Motion To: That the committee RECEIVE the item for information2266114360"
"1510";"Councillor";"P. Hume  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114360";"Passed    Motion To: That the committee RECEIVE the item for information";NULL;"2266";"114360";"P. Hume  YesPassed    Motion To: That the committee RECEIVE the item for information2266114360"
"1511";"Councillor";"R. Chiarelli  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114141";"Passed    Motion To: ";NULL;"2268";"114141";"R. Chiarelli  YesPassed    Motion To: 2268114141"
"1512";"Councillor";"E. El-Chantiry  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114141";"Passed    Motion To: ";NULL;"2268";"114141";"E. El-Chantiry  YesPassed    Motion To: 2268114141"
"1513";"Councillor";"M. Taylor  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114141";"Passed    Motion To: ";NULL;"2268";"114141";"M. Taylor  YesPassed    Motion To: 2268114141"
"1514";"Councillor";"M. Fleury  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114141";"Passed    Motion To: ";NULL;"2268";"114141";"M. Fleury  YesPassed    Motion To: 2268114141"
"1515";"Councillor";"S. Qadri  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114141";"Passed    Motion To: ";NULL;"2268";"114141";"S. Qadri  YesPassed    Motion To: 2268114141"
"1516";"Councillor";"K. Hobbs  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114141";"Passed    Motion To: ";NULL;"2268";"114141";"K. Hobbs  YesPassed    Motion To: 2268114141"
"1517";"Councillor";"D. Holmes  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114141";"Passed    Motion To: ";NULL;"2268";"114141";"D. Holmes  YesPassed    Motion To: 2268114141"
"1518";"Councillor";"R. Chiarelli  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114135";"Passed    Motion To: That the committee RECEIVE the item for information";NULL;"2268";"114135";"R. Chiarelli  YesPassed    Motion To: That the committee RECEIVE the item for information2268114135"
