"id";"VoterTitle";"VoterName";"VoterVote";"PageURL";"MotionofVote";"NoVoteText";"MeetingIDValue";"ItemID";"VoteID"
"4500";"Mayor";"J. Watson  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=127113";"Passed    Motion To: ";NULL;"2479";"127113";"J. Watson  YesPassed    Motion To: 2479127113"
"4501";"Councillor";"P. Hume  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=127113";"Passed    Motion To: ";NULL;"2479";"127113";"P. Hume  YesPassed    Motion To: 2479127113"
"4502";"Councillor";"M. McRae  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=127113";"Passed    Motion To: ";NULL;"2479";"127113";"M. McRae  YesPassed    Motion To: 2479127113"
"4503";"Councillor";"S. Moffatt  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=127774";"Passed    Motion To: ";NULL;"2479";"127774";"S. Moffatt  YesPassed    Motion To: 2479127774"
"4504";"Councillor";"R. Chiarelli  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=127774";"Passed    Motion To: ";NULL;"2479";"127774";"R. Chiarelli  YesPassed    Motion To: 2479127774"
"4505";"Councillor";"E. El-Chantiry  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=127774";"Passed    Motion To: ";NULL;"2479";"127774";"E. El-Chantiry  YesPassed    Motion To: 2479127774"
"4506";"Councillor";"R. Bloess  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=127774";"Passed    Motion To: ";NULL;"2479";"127774";"R. Bloess  YesPassed    Motion To: 2479127774"
"4507";"Councillor";"D. Chernushenko  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=127774";"Passed    Motion To: ";NULL;"2479";"127774";"D. Chernushenko  YesPassed    Motion To: 2479127774"
"4508";"Councillor";"S. Blais  ";"Absent";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=127774";"Passed    Motion To: ";NULL;"2479";"127774";"S. Blais  AbsentPassed    Motion To: 2479127774"
"4509";"Councillor";"M. Taylor  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=127774";"Passed    Motion To: ";NULL;"2479";"127774";"M. Taylor  YesPassed    Motion To: 2479127774"
"4510";"Councillor";"S. Desroches  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=127774";"Passed    Motion To: ";NULL;"2479";"127774";"S. Desroches  YesPassed    Motion To: 2479127774"
"4511";"Councillor";"B. Monette  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=127774";"Passed    Motion To: ";NULL;"2479";"127774";"B. Monette  YesPassed    Motion To: 2479127774"
